game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,primary_player,primary_player_score,primary_player_illegal_moves,primary_player_legal_moves,primary_player_timeout,primary_player_resignation,primary_player_failed_to_find_legal_move,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves,primary_player_elo
1765964487-1335,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 Nc6 3. d4 Nf6 4. d5 Nd4 5. Nxd4 Qa5+ 6. Bd2 Qb6 7. Nb3 Qc7 8. Nc3 e6 9. dxe6 b6 10. exf7+ Ke7 11. Bc4 b5 12. Nxb5 Qb7 13. Bf4 Nxe4 14. Bd6+ Nxd6 15. Qxd6+ Kd8 16. Qg3 Be7 17. O-O-O Qc6 18. Qxg7 Re8 19. fxe8=Q+ Kxe8 20. Qf7+ Kd8 21. Rhe1 Qh6+ 22. Kb1 Qf8 23. Qxf8+ Bxf8 24. Nd6 Kc7 25. Nxc8 Rxc8 26. Bd5 a6 27. Na5 Rd8 28. Bb7 c4 29. Bxa6 Bb4 30. Nxc4 Bxe1 31. Rxe1 Ra8 32. Bb5 d5 33. Ne5 h5 34. Nf7 Rf8 35. Re7+ Kc8 36. Nd6+ Kb8 37. Rb7+ Ka8 38. Rf7 Rb8 39. Bc6+ Rb7 40. Rxb7 h4 41. Rb6+ Ka7 42. Rb7+ Ka6 43. Rh7 Ka5 44. Rxh4 Ka6 45. Ra4+ Kb6 46. Bxd5 Kc5 47. Bf3 Kb6 48. h4 Kc7 49. h5 Kd8 50. h6 Kc7 51. h7 Kb8 52. h8=Q+ Kc7 53. Qh7+ Kxd6 54. Ra6+ Kc5 55. Qh5+ Kc4 56. Ra4#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,1,0,,,,,,,,0,0,56,56,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,56,435.730521440506,56,0,
1765965523-2267,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 d6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 h6 6. Nf3 e4 7. Nd4 a6 8. Nc3 c5 9. Nb3 Be7 10. O-O b5 11. Be2 b4 12. Na4 Nbd7 13. d3 e3 14. Bxe3 Nb6 15. Nxb6 Qxb6 16. c4 bxc3 17. bxc3 O-O 18. c4 Qc7 19. Qd2 Bf5 20. Bf4 Bd6 21. Bxd6 Qxd6 22. Qe3 Rae8 23. Qf3 Bg4 24. Qg3 Qxg3 25. fxg3 Bxe2 26. Rfe1 Nd7 27. Nc1 Bg4 28. Rxe8 Rxe8 29. Nb3 Kf8 30. h3 Bf5 31. Rd1 h5 32. Kf2 g6 33. Kf3 g5 34. g4 Bh7 35. gxh5 Bf5 36. g4 Ne5+ 37. Kg3 Bxd3 38. Nxc5 Bh7 39. Nxa6 Nxc4 40. Nc7 Re3+ 41. Kf2 Ra3 42. d6 Bd3 43. d7 Ke7 44. Nd5+ Kd8 45. Nf6 Ra6 46. Rxd3 Rxf6+ 47. Kg3 Re6 48. Rd4 Ne5 49. Rd5 Nxd7 50. Rxg5 Ra6 51. Rg8+ Ke7 52. Rg7 Ra3+ 53. Kh4 Nf8 54. Rg8 Ra4 55. Rg5 Ne6 56. Re5 Kf6 57. Rf5+ Ke7 58. Re5 Kf6 59. Rf5+ Kg7 60. Re5 Rxa2 61. Rg5+ Nxg5 62. Kxg5 Ra4 63. h6+ Kh7 64. h4 Ra1 65. h5 Ra4 66. Kf6 Rf4+ 67. Kg5 Ra4 68. Kf6 Rxg4 69. Kxf7 Rg5 70. Kf6 Rg3 71. Kf5 Ra3 72. Kg5 Ra4 73. Kf6 Kxh6 74. Kf5 Ra6 75. Kg4 Rf6 76. Kh4 Rf8 77. Kg4 Ra8 78. Kh4 Re8 79. Kg4 Rc8 80. Kh4 Re8 81. Kg4 Rb8 82. Kh4 Rd8 83. Kg4 Kg7 84. Kg5 Rd2 85. h6+ Kh8 86. Kg6 Rf2 87. Kg5 Re2 88. Kg6 Rb2 89. Kg5 Kh7 90. Kh5 Rb8",,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,-10000000000,-10000000000,,,,,,,,0,0,90,90,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,91,1035.98177027702,90,0,
1765965734-9253,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. Be3 d6 5. Qd2 Nf6 6. f3 Nbd7 7. O-O-O e5 8. Nge2 h5 9. h4 exd4 10. Nxd4 Nc5 11. Bc4 O-O 12. Bh6 Qe7 13. Bxg7 Kxg7 14. g4 Be6 15. Nxe6+ fxe6 16. gxh5 Nxh5 17. Rdg1 Nd7 18. Qg5 Qf6 19. Qxh5 Ne5 20. Be2 b5 21. Qg5 b4 22. Qxf6+ Rxf6 23. Nd1 Nxf3 24. Bxf3 Raf8 25. Be2 Kh6 26. h5 e5 27. hxg6+ Kg7 28. Rh7+ Kg8 29. Bc4+ R8f7 30. Bxf7+ Rxf7 31. gxf7+ Kxh7 32. f8=Q c6 33. Qg7#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,1,0,,,,,,,,0,0,33,33,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,33,211.267870903015,33,0,
1765965891-4129,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 Nf6 2. e5 Ne4 3. d4 e6 4. Bd3 f5 5. exf6 Nxf2 6. Kxf2 Qxf6+ 7. Nf3 Be7 8. Rf1 Nc6 9. Kg1 b6 10. c3 g6 11. Bg5 Qxg5 12. Nxg5 Bb7 13. Nf7 Rg8 14. Ne5 Nxe5 15. dxe5 Rh8 16. Nd2 O-O-O 17. Ne4 Rdf8 18. Rxf8+ Rxf8 19. Qe2 h6 20. Rf1 Bxe4 21. Rxf8+ Bd8 22. Qxe4 d5 23. exd6 e5 24. dxc7 Kxc7 25. Qxe5+ Kc8 26. Qe6+ Kb8 27. Rxd8+ Kc7 28. Rd7+ Kc8 29. Qe8+",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,1,0,,,,,,,,0,0,29,29,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,29,156.760976314545,29,0,
1765966194-8483,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 a6 5. Nc3 e6 6. Be3 Nf6 7. f3 b5 8. Qd2 Nbd7 9. O-O-O b4 10. Nce2 Nc5 11. Nc6 Qb6 12. Nxb4 Nfd7 13. Nd3 Be7 14. Nxc5 Nxc5 15. Nc3 Qb8 16. Bxc5 O-O 17. Bxd6 Bxd6 18. Qxd6 Qa7 19. Qd4 Qc7 20. Qd6 Qa5 21. Qa3 Qc7 22. Bd3 Bb7 23. Rhe1 Rfb8 24. Qa4 Qf4+ 25. Kb1 Qc7 26. Qc4 Qxh2 27. Rh1 Qd6 28. e5 Qb6 29. Qb3 Qf2 30. Bxh7+ Kh8 31. Be4+ Kg8 32. Bxb7 Qd4 33. Rxd4 g6 34. Rdh4 g5 35. Rh8+ Kg7 36. Rxb8 Ra7 37. Rhh8 Ra8 38. Rbg8# Rxg8 39. Rxg8+ Kh7 40. Rxg5 a5 41. Qb5 Kh6 42. Rg8 Kh7 43. Qe8 Kh6 44. Qxf7 a4 45. Qg6#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,1,0,,,,,,,,0,0,45,45,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,45,303.229217290878,45,0,
1765966417-4261,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. Ng5 Rf8 6. Nc3 a6 7. Nd5 d6 8. Nxf6+ Qxf6 9. O-O Qg6 10. Qf3 h6 11. Nh3 Nd4 12. Qg3 Ne2+ 13. Kh1 Nxg3+ 14. fxg3 c6 15. Bd2 Be6 16. Bxe6 Qxe6 17. Rf3 Qc8 18. Raf1 d5 19. exd5 a5 20. dxc6 f6 21. cxb7 Qxb7 22. b3 h5 23. Nf2 Bxf2 24. R1xf2 a4 25. b4 Ra7 26. a3 Qa8 27. Be3 Rc7 28. Bc5 Kd7 29. Bxf8 Qxf8 30. c4 Qd8 31. Rd2 Kc6 32. b5+ Kb7 33. Rff2 Rc5 34. Rfe2 Qd4 35. Re4 Qa1+ 36. Re1 Qxe1#",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,0,1,,,,,,,,0,0,36,36,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,37,222.688949108124,36,0,
1765966579-7897,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 a5 6. f3 b5 7. g4 Ba6 8. h4 Nd7 9. h5 b4 10. Nce2 e5 11. h6 Bxh6 12. Bxh6 d5 13. Bg7 Ne7 14. Bxh8 Bxe2 15. Nxe2 a4 16. dxe5 Qb6 17. Bf6 dxe4 18. fxe4 h5 19. gxh5 Qa7 20. hxg6 Nxg6 21. Rh8+ Nxh8 22. Bxh8 Qa5 23. O-O-O Nc5 24. Nd4 O-O-O 25. Bf6 Rd7 26. Bh3 Qd8 27. Bxd7+ Qxd7 28. Qxb4 Qf5 29. Qxc5 Qf3 30. Qxc6+ Kb8 31. Nb5 Qf4+ 32. Kb1 Qh4 33. Qc7+ Ka8 34. Qa7#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,1,0,,,,,,,,0,0,34,34,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,34,162.615056037903,34,0,
1765966758-9715,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 d6 3. d4 Nf6 4. Nc3 Nfd7 5. Be3 a6 6. dxc5 b6 7. cxd6 Nc6 8. dxe7 Bxe7 9. Bc4 Bb7 10. O-O h6 11. Nd5 O-O 12. Nxe7+ Nxe7 13. Bd5 Qc7 14. Bxb7 Rab8 15. Bd5 Rbd8 16. Qe2 Ng6 17. Rad1 Nf6 18. Bb3 Rde8 19. e5 Nxe5 20. Nxe5 Rxe5 21. Qf3 Qc8 22. Bd4 Rg5 23. Bxf6 Rg4 24. Bc3 a5 25. h3 Rg6 26. Rd4 b5 27. Rg4 b4 28. Rxg6 Qg4 29. Qxg4 Rd8 30. Rxg7+ Kf8 31. Rg8+ Ke7 32. Rxd8 f6 33. Qd7#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,1,0,,,,,,,,0,0,33,33,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,33,179.155384778976,33,0,
1765967160-3645,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e6 2. d4 Be7 3. Nc3 Nc6 4. Nf3 d5 5. e5 h5 6. Bd3 Nh6 7. Bxh6 gxh6 8. Qd2 Bd7 9. O-O-O h4 10. Kb1 Bg5 11. Qe2 Be7 12. g3 Na5 13. gxh4 Nc6 14. Rhg1 a6 15. Rg7 Bf8 16. Rg2 Qe7 17. Rdg1 Na7 18. Nd2 Nc6 19. Nb3 O-O-O 20. Nc5 Be8 21. Nxa6 f6 22. Nc5 Nxd4 23. Qe3 Qxc5 24. exf6 Kb8 25. Rg7 Qb6 26. R7g3 Kc8 27. R3g2 Kb8 28. Rg3 e5 29. R3g2 Qd6 30. Rg3 Nc6 31. R3g2 Bf7 32. Rg3 Qxf6 33. R3g2 Nd4 34. Rg3 Bc5 35. R3g2 b6 36. Rg3 Bh5 37. R3g2 Rhf8 38. Rg3 e4 39. R3g2 Nf3 40. Rg3 Nxh2 41. R3g2 Nf3 42. Rg3 Rde8 43. Rg4 Qe6 44. R4g3 Rd8 45. Rg4 Bxg4 46. Rg3 Bd4 47. Rg2 Bc5 48. Rg3 Bxe3 49. Rg2 c6 50. Rg3 Bxf2 51. Rg2 Nxh4 52. Rg3 Bxg3 53. Be2 Qd7 54. Bxg4 Be5 55. Bxd7 Rf1+ 56. Nd1 Rxd1#",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,0,1,,,,,,,,0,0,56,56,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,57,401.24742436409,56,0,
1765967285-9198,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 Nc6 3. d4 Nf6 4. d5 Nb8 5. e5 Ng8 6. c4 f6 7. exf6 exf6 8. Bd3 Ne7 9. O-O Na6 10. Re1 Qc7 11. Nc3 Nb4 12. Nb5 Qa5 13. Nd6+ Kd8 14. Nf7+ Ke8 15. Nxh8 b5 16. Bd2 Qd8 17. Bxb4 bxc4 18. Bxc4 cxb4 19. d6 Qc7 20. dxe7 d5 21. exf8=Q+ Kxf8 22. Bxd5 Bd7 23. Bxa8 Qe5 24. Qxd7 Qe6 25. Qd8+ Qe8 26. Qxe8+",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,2,1,0,,,,,,,,0,0,26,26,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,26,125.748771190643,26,0,
