game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves
1765990750-6971,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c6 2. d4 d6 3. Nc3 Nf6 4. f4 g6 5. Nf3 Bg7 6. Bd3 Na6 7. O-O Bg4 8. h3 Bd7 9. e5 Nd5 10. Nxd5 dxe5 11. Nc3 exd4 12. Ne4 Nb4 13. a3 Nxd3 14. Qxd3 Qb6 15. b4 Bf5 16. Bb2 c5 17. bxc5 Qxb2 18. Rab1 Bxe4 19. Qxe4 Qc3 20. Rxb7 Qe3+ 21. Qxe3 dxe3 22. Re1 O-O 23. Rxe3 Rac8 24. Rexe7 Rxc5 25. Rxa7 Bh6 26. Ne5 Rxc2 27. Nxf7 Rc1+ 28. Kh2 Bxf4+ 29. g3 Be3 30. Nh6+ Bxh6 31. Rxh7 Rf2#",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 3,,2.0,0.0,1.0,0,0,31,31,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 3,32,154.4131302833557,31,0
1765990986-8417,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. Nf3 d5 2. e3 Nf6 3. c4 c6 4. b3 Bg4 5. h3 Bh5 6. Be2 e6 7. Bb2 Be7 8. d4 O-O 9. Ne5 Bxe2 10. Kxe2 Nbd7 11. Nd2 Nxe5 12. dxe5 Nd7 13. Qc2 Qc7 14. Rhd1 Nxe5 15. Kf1 Bf6 16. Rac1 Rac8 17. cxd5 exd5 18. e4 dxe4 19. Nxe4 Be7 20. b4 Ng6 21. Qb3 Qf4 22. Re1 Rfe8 23. Re3 Bg5 24. Qc3 f6 25. Rce1 Rxe4 26. Rxe4 Qh2 27. Qc4+ Kh8 28. h4 Bxh4 29. Re8+ Nf8 30. Rxc8 Qh1+ 31. Ke2 Qxe1+ 32. Kxe1 Bxf2+ 33. Kxf2 h6 34. Rxf8+ Kh7 35. Kg3 Kg6 36. Qe4+ Kg5 37. Ba3 f5 38. Qxf5#",1-0,Stockfish 3,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,2.0,,1.0,0.0,0,0,38,38,False,False,False,False,Stockfish 3 vs. lichess_200k_bins_16layers_ckpt_with_optimizer.pt,38,236.03281664848328,38,0
1765991302-4792,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 Nc6 2. Nf3 e5 3. Bc4 Nf6 4. d3 Be7 5. O-O a5 6. a4 d6 7. h3 O-O 8. Nc3 Bd7 9. Bg5 Be6 10. Bxe6 fxe6 11. d4 Nxd4 12. Nxd4 exd4 13. Qxd4 Rf7 14. Rad1 Nd7 15. Bxe7 Rxe7 16. f4 Rf7 17. e5 dxe5 18. fxe5 Re7 19. Ne4 b6 20. Ng5 h6 21. Ne4 Qb8 22. Qc4 Nxe5 23. Qb3 Kh7 24. Qg3 c6 25. Rd6 Ng6 26. Qxg6+ Kxg6 27. Rxc6 Qa7 28. Rf3 Rc7 29. Rg3+ Kh7 30. Rxe6 Rd7 31. Kh2 Kh8 32. Reg6 Qb8 33. h4 Raa7 34. Kh3 Qc8 35. Kh2 Rd8 36. Nf6 Qf5 37. Ng4 Qf4 38. Kh3 Qf5 39. Kh2 Qxg6 40. Ne5 Qh5 41. Nf7+ Rxf7 42. Rxg7 Qxh4+ 43. Kg1 Kxg7 44. g3 Qh3 45. g4 Rf1#",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 3,,2.0,0.0,1.0,0,0,45,45,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 3,46,316.2912561893463,45,0
1765991526-4919,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. Nc3 d5 2. e4 d4 3. Nce2 e5 4. Ng3 Nf6 5. Bc4 Be7 6. Nf3 Nc6 7. Ng5 O-O 8. d3 h6 9. h4 Bg4 10. f3 Bd7 11. Bd2 a6 12. a3 b5 13. Bb3 Na5 14. Bxa5 c5 15. Bxd8 Raxd8 16. Nh3 c4 17. dxc4 bxc4 18. Bxc4 Ba4 19. Bxa6 Ra8 20. Bd3 Rfc8 21. Nf5 Bf8 22. g4 Rab8 23. Rb1 Rc7 24. g5 hxg5 25. Rh2 g4 26. Ng1 gxf3 27. Qxf3 Bxc2 28. Rxc2 Rxc2 29. Ne2 Rcxb2 30. Rc1 R2b3 31. Kf1 Rxa3 32. Qg3 Rbb3 33. Rd1 Nxe4 34. Nh6+ Kh7 35. Bxe4+ Kxh6 36. Qg5#",1-0,Stockfish 3,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,2.0,,1.0,0.0,0,0,36,36,False,False,False,False,Stockfish 3 vs. lichess_200k_bins_16layers_ckpt_with_optimizer.pt,36,224.08922815322876,36,0
1765991924-1233,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Bd6 6. Be3 O-O 7. Bd3 Bb4 8. O-O Nc6 9. Nxc6 bxc6 10. a3 Be7 11. e5 Nd5 12. Nxd5 cxd5 13. Qh5 f5 14. exf6 Bxf6 15. Qxh7+ Kf7 16. Bg6+ Ke7 17. Bc5+ d6 18. Be3 Rh8 19. Qxh8 Qxh8 20. Rab1 Bd7 21. b4 Rb8 22. Bxa7 Ra8 23. Be3 Be8 24. Bxe8 Qxe8 25. Rb3 g6 26. Rfb1 d4 27. Bd2 Qb5 28. c3 Qh5 29. cxd4 Bxd4 30. Be3 Be5 31. g3 Qf5 32. b5 Rb8 33. b6 d5 34. a4 g5 35. a5 Rh8 36. a6 Qh3 37. Bc5+ Kd7 38. a7 Bd6 39. Bxd6 Kxd6 40. b7 Ke7 41. b8=Q Qh5 42. Qxh8 Qxh8 43. Rb8 g4 44. Rxh8 e5 45. a8=Q Ke6 46. Rh6+ Kf5 47. Qf8+ Ke4 48. Rb4+ Kd3 49. Qf5+ Kc3 50. Qb1 Kd2 51. Rb2+ Kc3 52. Qc2+ Kd4 53. Rb4#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 3,,2.0,1.0,0.0,0,0,53,53,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 3,53,398.27967858314514,53,0
1765992261-3726,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. a3 e5 2. Nc3 d5 3. d4 e4 4. Bf4 Nf6 5. e3 Bd6 6. Bxd6 Qxd6 7. f3 O-O 8. Qd2 c5 9. O-O-O c4 10. h4 a6 11. Nh3 b5 12. Nf2 b4 13. axb4 Qxb4 14. fxe4 dxe4 15. Nb1 Qa4 16. h5 h6 17. g4 Bxg4 18. Nxg4 Nxg4 19. Be2 Nf2 20. Na3 Nxh1 21. Rg1 Nf2 22. Bd1 Nxd1 23. Qg2 g5 24. Qe2 Nxb2 25. Rxg5+ hxg5 26. Nb5 Qxb5 27. Qh2 Nd3+ 28. cxd3 cxd3 29. Qd6 Qc4+ 30. Kb2 Qc2+ 31. Ka3 Qc3+ 32. Ka2 Qc2+ 33. Ka3 Qc1+ 34. Kb4 Qb2+ 35. Kc4 Qb5+ 36. Kc3 Rc8+ 37. Qc5 Rxc5+ 38. dxc5 Qxc5+ 39. Kb3 Qxe3 40. h6 Qh3 41. Ka2 Qxh6 42. Kb3 Qb6+ 43. Kc4 Qb5+ 44. Kd4 Nc6+ 45. Ke3 Qc5+ 46. Kd2 Qc2+ 47. Ke1 Qe2#",0-1,Stockfish 3,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,2.0,,0.0,1.0,0,0,47,47,False,False,False,False,Stockfish 3 vs. lichess_200k_bins_16layers_ckpt_with_optimizer.pt,48,337.0678288936615,47,0
1765992364-5482,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 e6 3. d4 h6 4. d5 exd5 5. exd5 d6 6. c4 Bf5 7. Bd3 Bxd3 8. Qxd3 Nf6 9. O-O Nbd7 10. Re1+ Ne5 11. Nxe5 dxe5 12. Rxe5+ Be7 13. Qe2 Nd7 14. Re3 Nf8 15. Nc3 Qd7 16. Nb5 Ng6 17. d6 O-O-O 18. dxe7 Nxe7 19. Rxe7 Qxe7 20. Qxe7 Rd1+ 21. Qe1 Rxe1#",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 3,,2.0,0.0,1.0,0,0,21,21,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 3,22,102.81454110145569,21,0
1765992574-1675,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. d4 d5 2. e3 Nf6 3. Be2 e6 4. Nf3 Be7 5. Bd2 O-O 6. O-O c5 7. c4 cxd4 8. a3 dxe3 9. Bxe3 dxc4 10. Bxc4 Qxd1 11. Rxd1 Nc6 12. h3 b6 13. Nc3 Bb7 14. Nd4 Nxd4 15. Bxd4 Rad8 16. Be2 Nd5 17. b4 Nxc3 18. Bxc3 Rxd1+ 19. Bxd1 Rd8 20. g3 Bf6 21. Rc1 Bxc3 22. Be2 Bf6 23. a4 Rc8 24. Rb1 Rc2 25. Kf1 Bd5 26. Bd3 Rc3 27. Ba6 Bc4+ 28. Ke1 Bxa6 29. h4 Bd3 30. Rd1 Bc2 31. Rd7 Bxa4 32. Rxa7 Bb5 33. Ra8+ Be8 34. Rxe8#",1-0,Stockfish 3,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,2.0,,1.0,0.0,0,0,34,34,False,False,False,False,Stockfish 3 vs. lichess_200k_bins_16layers_ckpt_with_optimizer.pt,34,210.13286900520325,34,0
1765992773-9036,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c6 2. d4 d6 3. Nc3 e5 4. Nf3 Qc7 5. Bc4 Nf6 6. O-O h6 7. a4 Bg4 8. Be3 Bh5 9. h3 Nbd7 10. Be2 Be7 11. Nh4 exd4 12. Bxh5 dxe3 13. fxe3 O-O 14. Nf5 Ne5 15. Nxe7+ Qxe7 16. Bf3 Rfe8 17. Qd4 a6 18. Rad1 Qf8 19. Qxd6 Re7 20. Qxe7 Nxf3+ 21. Rxf3 Qxe7 22. Rdf1 Rf8 23. Rf4 Ne8 24. R1f3 Nd6 25. b3 h5 26. Kf2 b5 27. axb5 axb5 28. Ke2 b4 29. Na4 Nxe4 30. Nb2 c5 31. Nc4 f5 32. Rxf5 Nc3+ 33. Kd3 Qd7+ 34.",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 3,,2.0,0.0,1.0,1,0,33,34,False,False,True,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 3,34,198.28035974502563,34,1
1765993061-3057,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6 5. Nbd2 Bb4 6. a3 Bxd2+ 7. Nxd2 O-O 8. O-O d5 9. exd5 Nxd5 10. Nb3 Nb6 11. Bb5 Qf6 12. h3 Rd8 13. a4 a6 14. Be2 Bf5 15. Bd3 Bxd3 16. Re1 Bg6 17. a5 Nd5 18. Qg4 Ndb4 19. Bf4 Nxc2 20. Qg3 Nxa1 21. Rxa1 Rac8 22. Ra4 d3 23. Nd2 Qxb2 24. Qg4 Qc2 25. Rc4 Qd1+ 26. Qxd1 Nxa5 27. Rxc7 Rxc7 28. Bxc7 Rc8 29. Qa1 Nc6 30. Bf4 Nb4 31. Qa5 Nc2 32. g4 h6 33. h4 Rc6 34. Kh2 Nd4 35. Be3 Ne6 36. h5 Bh7 37. Qd5 Rc2 38. Qe5 Rc8 39. Kg3 Re8 40. Nc4 Ng5 41. Qxe8#",1-0,Stockfish 3,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,2.0,,1.0,0.0,0,0,41,41,False,False,False,False,Stockfish 3 vs. lichess_200k_bins_16layers_ckpt_with_optimizer.pt,41,288.7685296535492,41,0
