game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves
1765852767-9787,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Rb8 6. Be3 d6 7. Bc4 Nf6",*,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,0.5,0.5,0,0,7,7,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,8,4.281988859176636,7,0
1765853018-5724,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nf6 3. Nc3 d5 4. exd5 Nxd5 5. Nxd5 Qxd5 6. d3 Nc6 7. Be2 f6 8. O-O Bg4 9. h3 Bf5 10. Nh4 Bc8 11. Bf3 Qb5 12. Bxc6+ bxc6 13. Nf3 Be6 14. c4 Qb7 15. b3 c5 16. Be3 O-O-O 17. Qc2 g5 18. Rad1 g4 19. hxg4 h5 20. gxh5 a5 21. Nh2 f5 22. Bg5 Rd4 23. Bf6 Rg8 24. Bxe5 Qxg2#",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,0,1,0,0,24,24,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,25,19.49164080619812,24,0
1765853179-7138,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c6 2. d4 a5 3. Nf3 g6 4. Bc4 d5 5. exd5 b5 6. Bd3 cxd5 7. Bxb5+ Bd7 8. Bxd7+ Nxd7 9. O-O e6 10. Re1 Ngf6 11. Bg5 h6 12. Bh4 Bb4 13. c3 Bf8 14. Ne5 Qc7 15. Nxd7 Nxd7 16. Bg3 Qb6 17. Qc2 Be7 18. Nd2 O-O 19. Nf3 a4 20. Ne5 Nxe5 21. Bxe5 Rfe8 22. Qd2 Bd6 23. Bxd6 Ra7 24. Bc5 Qb8 25. Bxa7 Qb7 26. Bc5 Qc8 27. Qxh6 e5 28. Rxe5 Qc6 29. Rxe8+ Qxe8 30. h3 f6 31. Qf4 Kg7 32. Qc7+ Kh6 33. Qf4+ g5 34. Qxf6+ Kh7 35. Qxg5 Qg6 36. Qxg6+ Kxg6 37. Re1 Kf5 38. Re5+ Kf4 39. Rxd5 a3 40. Bxa3 Ke4 41. Re5+ Kd3 42. h4 Kd2 43. h5 Kc1 44. h6 Kb1 45. h7 Kxa2 46. h8=Q Kb1 47. Qh7+ Kc1 48. Re1+ Kd2 49. Qh6+ Kxe1 50. Qe3+ Kd1 51. Qd3+ Ke1 52. Qf1+ Kd2 53. Bb4 Kc2 54. Qe2+ Kb3 55. Qd1+ Kxb2 56. Qd2+ Kb3 57. Qd1+ Kb2 58. Qd2+ Ka1 59. Qc1+ Ka2 60. Qc2+ Ka1 61. Qc1+ Ka2 62. Qc2+ Ka1 63. Qc1+ Ka2 64. Qc2+ Ka1 65. Qc1+ Ka2 66. Qc2+ Ka1 67. Qc1+",1/2-1/2,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,1/2,1/2,0,0,67,67,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,67,161.868590593338,67,0
1765853227-9871,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nf6 3. Nc3 d5 4. exd5 Bd6 5. d3 h6 6. Be2 c6 7. dxc6 Nxc6 8. O-O Be6 9. Ne4 O-O 10. Nxd6 Nb4 11. Ne4 Rc8 12. Nxf6+ Qxf6 13. c3 Nc6 14. Be3 Rfd8 15. Qc2 Bf5 16. Rad1 b5 17. Qb3 Be6 18. Qxb5 Qg6 19. Nh4 a6 20. Nxg6 axb5 21. Nh4 f5 22. Bc5 f4 23. d4 g5 24. Nf3 g4 25. Nxe5 Bxa2 26. Nxc6 Rd5 27. Ne7+ Kf7 28. Nxd5 Rxc5 29. dxc5 f3 30. gxf3 Bxd5 31. Rxd5 b4 32. cxb4 Kg8 33. Rd7 gxf3 34. Bxf3 Kh8 35. Re1 h5 36. Re8#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,1,0,0,0,36,36,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,36,47.712329387664795,36,0
1765853280-8191,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d3 a6 5. Ng5 f6 6. Nf7 Qe7 7. Nxh8 Be6 8. Bxe6 Qxe6 9. Qh5+ Kd7 10. Qxh7 Kd8 11. Ng6 Qg4 12. O-O Nce7 13. Nxf8 Nh6 14. Bxh6 gxh6 15. Qxh6 Ke8 16. Qxf6 c6 17. Ne6 Ng8 18. Qf8+ Kd7 19. Qxa8 c5 20. Qxb7+ Ke8 21. Nc7+ Ke7 22. Nd5+ Ke6 23. Qc8+ Kf7 24. Qxg4 Nh6 25. Qh5+ Ke6 26. Qxh6+ Kd7 27. Nb6+ Kd8 28. Qxd6+ Ke8 29. Qxe5+ Kf7 30. Qxc5 Kg7 31. Qc6 Kg8 32. Qc7 Kf8 33. Nd5 Kg8 34. Nf6+ Kf8 35. Nh7+ Ke8 36. Nc3 a5 37. Nd5 a4 38. Ndf6#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,1,0,0,0,38,38,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,38,52.76282453536987,38,0
1765853336-9263,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c6 2. d4 e6 3. Nf3 d5 4. e5 Qc7 5. Bd3 Ne7 6. O-O a6 7. c3 Nd7 8. Bg5 a5 9. Nbd2 b6 10. Re1 Ba6 11. Bxa6 h6 12. Bxe7 g5 13. Bxf8 Kxf8 14. Bd3 Rd8 15. Nf1 g4 16. Nh4 c5 17. Qxg4 h5 18. Qg5 a4 19. Ng6+ Ke8 20. Nxh8 a3 21. bxa3 Rc8 22. Qg8+ Nf8 23. Nxf7 Qxf7 24. Qxf7+ Kd8 25. Qxf8+ Kc7 26. Qd6+ Kb7 27. Qxe6 Rh8 28. Qxd5+ Kc8 29. Bf5+ Kb8 30. Qd6+ Kb7 31. Qd7+ Kb8 32. Qd6+ Ka7 33. Qc7+ Ka6 34. Bd3+ b5 35. Qc6+ Ka7 36. Qxb5 Rh6 37. Qxc5+ Kb8 38. Rab1+ Ka8 39. Qc8+ Ka7 40. Qb7#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,1,0,0,0,40,40,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,40,56.314695596694946,40,0
1765853481-8837,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Qb6 5. Nf3 Nc6 6. Be2 Nh6 7. O-O Bd7 8. a3 cxd4 9. cxd4 Na5 10. b4 Nc4 11. Nbd2 Nf5 12. Nxc4 dxc4 13. Bxc4 Rc8 14. Bb3 Ne7 15. Be3 Qc6 16. Rc1 Qa6 17. Rxc8+ Bxc8 18. Qc2 Bd7 19. Rc1 h6 20. Qc4 Qxc4 21. Bxc4 b5 22. Bb3 Kd8 23. Nd2 Nf5 24. Ne4 Rg8 25. Nc5 Kc7 26. Nxd7+ Kxd7 27. d5 g5 28. dxe6+ fxe6 29. Bxa7 Ne7 30. Bc5 Nd5 31. Bxd5 exd5 32. Bxf8 Rxf8 33. Rc5 d4 34. Rd5+ Kc6 35. Rxd4 Rf5 36. Re4 Rf8 37. e6 Ra8 38. e7 Re8 39. Re6+ Kc7 40. Rxh6 Rxe7 41. g3 g4 42. Rg6 Re1+ 43. Kg2 Ra1 44. Rxg4 Ra2 45. Rg5 Kd7 46. Rxb5 Kc6 47. Ra5 Rd2 48. h4 Rd5 49. Rxd5 Kxd5 50. h5 Ke6 51. h6 Kf7 52. b5 Ke6 53. b6 Kd5 54. b7 Kc4 55. b8=Q Kc3 56. Qb4+ Kd3 57. a4 Ke2 58. a5 Kd3 59. a6 Ke2 60. a7 Kd3 61. a8=Q Ke2 62. Qaa3 Kd1 63. Qbb2 Ke1 64. Qaa1#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,1,0,0,0,64,64,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,64,145.21001291275024,64,0
1765853569-8015,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 a6 3. d4 e6 4. d5 Nf6 5. Nc3 d6 6. Bg5 Be7 7. Bc4 b5 8. Be2 h6 9. Bxf6 Bxf6 10. O-O Qc7 11. Re1 O-O 12. Bd3 Nd7 13. dxe6 fxe6 14. Qe2 c4 15. e5 Nxe5 16. Nxe5 Bxe5 17. Be4 Rb8 18. Qh5 b4 19. Ne2 Qf7 20. Qxf7+ Kxf7 21. Rab1 Kf6 22. Ng3 Ke7 23. Re3 g5 24. Rf3 d5 25. Bg6 a5 26. Rxf8 Kxf8 27. Nh5 Bd4 28. c3 Bc5 29. Re1 bxc3 30. bxc3 Rb2 31. Rf1 Rxa2 32. Nf6 Rb2 33. Nh7+ Ke7 34. h3 Bd7 35. Kh2 Bb6 36. f4 Bc7 37. Kg3 a4 38. Kg4 gxf4 39. Rxf4 Bxf4 40. Kxf4 Rxg2 41. Kf3 Rxg6 42. Nf6 Kxf6 43. Ke3 Ke7 44. Kd4 a3 45. Kc5 a2 46. Kb6 a1=Q 47. Kc7 Qa7#",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,0,1,3,0,46,47,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,48,87.64368844032288,47,0
1765853607-2469,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 d6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Bd6 6. d3 O-O 7. Nc3 h6 8. Nge4 Nxe4 9. dxe4 Nd7 10. O-O f5 11. exf5 Nf6 12. Bd3 Re8 13. Ne4 Nxe4 14. Bxe4 a5 15. Qg4 Qf6 16. Be3 a4 17. a3 b5 18. Rad1 Re7 19. Rd3 b4 20. axb4 Rf7 21. Ra3 Bxb4 22. Ra2 Bd6 23. c4 Bxf5 24. Bxf5 Kh8 25. Be6 Re7 26. c5 Rb8 27. cxd6 cxd6 28. Rxa4 Rxb2 29. Ra8+ Qf8 30. Rxf8+ Kh7 31. Bf5+ g6 32. Qxg6+",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,1,0,0,0,32,32,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,32,38.01140308380127,32,0
1765853692-8889,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 Qc7 3. d4 e6 4. d5 d6 5. c4 Nf6 6. Nc3 e5 7. Bd3 a6 8. O-O b6 9. a4 Nbd7 10. Bg5 Be7 11. Nh4 Ng8 12. Bxe7 Nxe7 13. f4 Qd8 14. f5 Bb7 15. Qg4 g6 16. f6 Nc8 17. Qg5 h6 18. Qg3 Na7 19. Nf5 Qxf6 20. Nxd6+ Qxd6 21. Rf2 Qe7 22. Raf1 O-O 23. Qh3 Nc8 24. Qxh6 f6 25. Qxg6+ Qg7 26. Qf5 Qe7 27. Rf3 Kf7 28. Rg3 Rg8 29. Rxg8 Kxg8 30. Rf3 Nd6 31. Rg3+ Kf8 32. Qh5 Nf7 33. Qh7 Ng5 34. Qh8+ Kf7 35. Qh5+ Kg7 36. h4 Qf7 37. Qg4 Nf8 38. hxg5 Ng6 39. gxf6+ Qxf6 40. Qd7+ Kf8 41. Qxb7 Qh4 42. Qxa8+ Ke7 43. Qb7+ Kd8 44. Rxg6 Qe1+ 45. Bf1 Qe3+ 46. Kh1 Qf3 47. Rg8+ Qf8 48. Rxf8#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 1,,0.1,1,0,0,0,48,48,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 1,48,85.31298208236694,48,0
