game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves
1762752074-1020,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e6 2. d4 c5 3. d5 Nf6 4. Nc3 a6 5. a4 Qc7 6. Nf3 d6 7. Be2 h6 8. O-O exd5 9. exd5 Bf5 10. Re1 Bg6 11. Bb5+ Kd8 12. Bd3 Bh5 13. Be2 g5 14. Nd2 Bxe2 15. Qxe2 Nbd7 16. Nc4 Ne5 17. Nxe5 dxe5 18. Qxe5 Bg7 19. Qxc7+ Kxc7 20. Be3 Kd6 21. Rad1 Rhe8 22. f3 Rab8 23. Bf2 Rxe1+ 24. Bxe1 Re8 25. Bg3+ Kd7 26. Kf2 Ng8 27. Re1 Ne7 28. d6 Nc6 29. Rxe8 f5 30. Rg8 Bxc3 31. bxc3 c4 32. Rg7+ Kd8 33. Rxb7 Na5 34. Ra7 f4 35. Rxa6 fxg3+ 36. hxg3 Nb7 37. Ra7 Kc8 38. Rxb7 h5 39. Rc7+ Kb8 40. Rxc4 g4 41. Rc5 gxf3 42. gxf3 h4 43. gxh4 Ka8 44. Rc7 Kb8 45. h5 Ka8 46. h6 Kb8 47. h7 Ka8 48. h8=Q#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,1,0,0,0,48,48,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,48,36.293463945388794,48,0
1762752110-6497,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Bd7 5. Nf3 Nc6 6. Be2 Nge7 7. O-O Ng6 8. Be3 Qc7 9. Nbd2 cxd4 10. cxd4 a5 11. Rc1 Qb6 12. Nb3 Rc8 13. Nc5 h6 14. b3 Qa7 15. Bb5 Be7 16. Qd2 Qb6 17. Bxc6 bxc6 18. Nxd7 Kxd7 19. Rc2 Qb4 20. Qd3 Ke8 21. Rfc1 a4 22. Rxc6 Rxc6 23. Rxc6 Qa5 24. Bd2 Qa8 25. Qb5 Bh4 26. Rc8+ Ke7 27. Rxa8 Bxf2+ 28. Kxf2 Nxe5 29. Rxh8 Nxf3 30. gxf3 g5 31. Rxh6 axb3 32. Qxb3 Kf8 33. Qb7 Kg7 34. Rh5 Kf6 35. Rxg5 e5 36. Qc6+ Ke7 37. Rxe5+ Kd8 38. Rxd5+ Ke7 39. Rd7+ Kf8 40. Qc8+ Kg7 41. Qc7 Kh7 42. Rxf7+ Kg8 43. Rg7+ Kh8 44. Rh7+ Kg8 45. Qg7#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,1,0,0,0,45,45,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,45,36.85043239593506,45,0
1762752125-1947,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e6 2. d4 a6 3. Nf3 Nf6 4. Nc3 c5 5. d5 b5 6. dxe6 fxe6 7. e5 b4 8. exf6 gxf6 9. Ne4 Bb7 10. Bd3 d5 11. Ng3 c4 12. Be2 Nc6 13. O-O Qc7 14. Nd4 Qd7 15. Bh5+ Ke7 16. Re1 Kd8 17. Nxe6+ Qxe6 18. Rxe6 Ne5 19. Rxf6 Nd3 20. cxd3 cxd3 21. Qxd3 d4 22. Qxd4+ Kc8 23. Rxf8+ Rxf8 24.",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,0,1,5,0,23,24,False,False,True,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,24,14.283370971679688,24,0
1762752250-3752,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 c5 2. Nf3 e6 3. d4 d5 4. exd5 cxd4 5. Qxd4 Ne7 6. dxe6 Bxe6 7. Qxd8+ Kxd8 8. Bb5 Nec6 9. Bxc6 Nxc6 10. O-O Be7 11. Rd1+ Ke8 12. Bg5 Rc8 13. Bxe7 Kxe7 14. Nc3 Rhe8 15. Re1 Red8 16. Rad1 Kf8 17. Rxd8+ Rxd8 18. Rd1 Re8 19. Re1 Bf5 20. Rxe8+ Kxe8 21. Ne1 Nb4 22. a3 Nxc2 23. Nxc2 Bxc2 24. Nd5 Be4 25. Nc7+ Kf8 26. Nb5 Bc6 27. Nxa7 Bd7 28. b4 Ke8 29. b5 Kd8 30. b6 Ke7 31. a4 h6 32. a5 Kd6 33. a6 bxa6 34. b7 Kc7 35. b8=Q+ Kxb8 36. Nc6+ Bxc6 37. f3 Kc8 38. Kf2 a5 39. Ke3 a4 40. Kd2 a3 41. Kc2 f6 42. Kb3 Kd7 43. Kxa3 Kd6 44. Kb3 Ke5 45. Kc3 Kd5 46. Kd3 Kc5 47. Ke3 Bb5 48. Kf4 Kd6 49. Kf5 Bd3+ 50. Kf4 Ke6 51. Ke3 Bb1 52. Kf4 Bh7 53. Ke3 Bg6 54. Kf4 h5 55. Ke3 Bf5 56. Kf4 Bh7 57. Ke3 Bc2 58. Kf4 Bb1 59. Ke3 Kf5 60. Kf2 Kg6 61. Ke3 h4 62. Kf4 Bf5 63. g3 Be6 64. gxh4 Bh3 65. Ke3 Bc8 66. Kf4 Kh5 67. Kg3 Be6 68. Kf4 Kxh4 69. Ke3 Bd7 70. Kf4 g5+ 71. Ke3 Bc8 72. Kf2 Kh3 73. Kg1 f5 74. Kh1 Ba6 75. Kg1 Bc8 76. Kh1 f4 77. Kg1 Bb7 78. Kh1 g4 79. Kg1 g3 80. hxg3 Kxg3 81. Kf1 Ba8 82. Ke2 Kh4 83. Kd3 Kg5 84. Kd4 Kh4 85. Ke5 Kg3 86. Kd4 Kh3 87. Ke5 Kg3 88. Kd4 Kxf3 89. Ke5 Kg4 90. Kd4 Kf3",*,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,0.5,0.5,0,0,90,90,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,91,124.92102813720703,90,0
1762752281-2796,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Nxd5 6. Nxf7 Qf6 7. Nxh8 Be6 8. O-O O-O-O 9. d3 e4 10. dxe4 Nc3 11. Qf3 Bxc4 12. Qxf6 Ne2+ 13. Kh1 gxf6 14. Re1 Bc5 15. Be3 Bxe3 16. fxe3 Ba6 17. Nf7 Nb4 18. Na3 Rd2 19. c3 Nxa2 20. Rxa2 Bd3 21. Raa1 Rxb2 22. Rad1 h6 23. Rxd3 f5 24. exf5 b6 25. f6 b5 26. Nxh6 Kb8 27. f7 Ng3+ 28. hxg3 Rd2 29. Rxd2 a5 30. f8=Q+ Ka7 31. Rd7 Kb7 32. Qc8+ Kxc8 33. Red1 b4 34. Rd8+ Kb7 35. Nb5 Kc6 36. Nd4+ Kb6 37. Nf7 Kb7 38. Ne5 a4 39. Ndc6 a3 40. Rb8+ Ka6 41. Ra1 bxc3 42. Rxa3#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,1,0,0,0,42,42,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,42,31.65701389312744,42,0
1762752352-1791,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 d6 2. d4 Nf6 3. Nc3 Nc6 4. Nf3 g6 5. Be3 Bd7 6. Bd3 Ng4 7. Qd2 Nxe3 8. Qxe3 Nb4 9. O-O e6 10. a3 Nxd3 11. Qxd3 Bg7 12. Rfe1 b6 13. Rad1 Rc8 14. e5 O-O 15. exd6 Bc6 16. dxc7 Qxc7 17. Ne5 h6 18. Nxc6 Qxc6 19. d5 Qd7 20. dxe6 Qxd3 21. Rxd3 Bxc3 22. bxc3 fxe6 23. Rxe6 Kg7 24. Rd7+ Rf7 25. Rxf7+ Kxf7 26. Re3 g5 27. g3 h5 28. Kg2 Kf6 29. Kf3 Rc4 30. Ke2 h4 31. Kd3 Ra4 32. c4 Kf5 33. Kd4 Kg4 34. Re4+ Kh3 35. gxh4 gxh4 36. f4 b5 37. Kc5 Rxa3 38. Kxb5 Kxh2 39. f5 h3 40. f6 Rf3 41. Re6 Rf5+ 42. c5 Kg1 43. Kc6 Kf1 44. Kd6 a5 45. c6 h2 46. Re1+ Kg2 47. c7 h1=Q 48. Rxh1 Rxf6+ 49. Kd7 Kxh1 50. c8=Q Rf2 51. Qh8+ Kg2 52. Qg7+ Kh3 53. Qh6+ Kg4 54. Qg6+ Kf4 55. Qf6+ Kg4 56. Qxf2 Kg5 57. Qa7 Kg6 58. Qxa5 Kg7 59. c4 Kh6 60. c5 Kh5 61. c6+ Kg6 62. c7 Kf7 63. c8=Q Kg7 64. Qc6 Kh7 65. Qa7 Kh8 66. Kd6 Kg8 67. Qc8#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,1,0,0,0,67,67,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,67,71.07107830047607,67,0
1762752392-2723,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nc6 3. Bc4 a5 4. d3 d6 5. Ng5 f6 6. Nf7 Qe7 7. Nxh8 Ra6 8. Bxa6 bxa6 9. Nc3 f5 10. Nd5 Qd7 11. exf5 Qxf5 12. Nxc7+ Ke7 13. Nd5+ Kd8 14. Nb6 d5 15. Nxd5 Nf6 16. Nf7+ Ke8 17. Nd6+ Bxd6 18. Nxf6+ Kd8 19. Nd5 Nb4 20. Nxb4 axb4 21. O-O e4 22. dxe4 Qg4 23. Qxd6+ Qd7 24. Qxd7+ Kxd7 25. Rd1+ Kc7 26. Bf4+ Kb7 27. Rd8 Bh3 28. gxh3 a5 29. Rad1 Ka7 30. R1d6 h5 31. R8d7+ Ka8 32. Rd8+ Kb7 33. R6d7+ Kc6 34. Rd6+ Kc5 35. Rd5+ Kb6 36. R8d6+ Kc7 37. Rd7+ Kc6 38. R7d6+ Kb7 39. Rd7+ Kc6 40. R7d6+ Kb7 41. Rd7+ Kc6 42. R7d6+ Kb7 43. Rd7+ Kc6 44. R7d6+ Kb7 45. Rd7+ Kc6",1/2-1/2,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,1/2,1/2,0,0,45,45,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,46,39.40308332443237,45,0
1762752431-7059,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. Bc4 d6 5. d3 Be7 6. Bg5 Na5 7. Bb3 c6 8. O-O Nxb3 9. axb3 Bg4 10. h3 Bxf3 11. Qxf3 O-O 12. Qg3 Nh5 13. Bxe7 Qxe7 14. Qg4 Nf4 15. g3 h5 16. Qf3 Nxh3+ 17. Kg2 Qe6 18. Qxh5 Nf4+ 19. gxf4 f5 20. Rh1 exf4 21. Qh7+ Kf7 22. Qxf5+ Qxf5 23. exf5 d5 24. Rh4 Kf6 25. Rxf4 Ke5 26. Rf3 Rh8 27. Re1+ Kf6 28. Re6+ Kg5 29. Rg3+ Kxf5 30. Reg6 Rag8 31. Rxg7 Rxg7 32. Rxg7 Ke5 33. Rxb7 a5 34. Ra7 Rh4 35. Rxa5 Rf4 36. Ne2 Rh4 37. c4 Rg4+ 38. Kf3 Rh4 39. cxd5 Rb4 40. dxc6+ Kd6 41. Ra6 Kc7 42. Nd4 Kd6 43. Ke4 Ke7 44. Kd5 Kd8 45. Ra7 Rb6 46. c7+ Kc8 47. Kc5 Rh6 48. Nb5 Rc6+ 49. Kxc6",1/2-1/2,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,1/2,1/2,0,0,49,49,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,49,39.31610679626465,49,0
1762752488-5617,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 Nc6 2. Nf3 Nf6 3. Nc3 e5 4. Bc4 Bb4 5. d3 h6 6. O-O d6 7. h3 Ne7 8. Ne2 O-O 9. c3 b5 10. Bb3 Bc5 11. d4 Bb6 12. dxe5 Nxe4 13. exd6 Nxd6 14. Ned4 c5 15. Ne2 Bb7 16. Ng3 Bc7 17. Bf4 Rc8 18. Bxd6 Qxd6 19. Qxd6 Bxd6 20. Rad1 Rfd8 21. Rfe1 Kf8 22. Ne5 Bc6 23. Nxc6 Nxc6 24. Ne4 Bc7 25. Nxc5 Rxd1 26. Rxd1 Rd8 27. Rxd8+ Ke7 28. Rd7+ Kf6 29. Rxc7 Ne7 30. Rxe7 Kxe7 31. Ne4 f5 32. Ng3 Kf8 33. Nxf5 a6 34. Nd6 h5 35. Nb7 g6 36. Nc5 h4 37. Nxa6 Kg7 38. Nc7 b4 39. Nd5 bxc3 40. bxc3 Kf7 41. c4 Kg8 42. c5 Kg7 43. c6 Kh7 44. c7 g5 45. c8=Q g4 46. Qxg4 Kh8 47. Qxh4+ Kg7 48. Qg4+ Kf7 49. Nf4+ Kf8 50. Qg6 Ke7 51. Qf7+ Kd6 52. Qe6+ Kc7 53. Qd5 Kb6 54. Ne6 Ka7 55. Qc5+ Ka8 56. Qc6+ Ka7 57. Qc7+ Ka8 58. Bd5#",1-0,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,1,0,0,0,58,58,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,58,56.87943696975708,58,0
1762752522-5909,"[White ""Magnus Carlsen""]
[Black ""Stockfish""]

1. e4 e5 2. Nf3 Nf6 3. Nc3 d6 4. Bc4 c5 5. d3 Be7 6. Bg5 a6 7. a4 h6 8. Bh4 g5 9. Bg3 Be6 10. Bxe6 fxe6 11. h3 Qc7 12. O-O Nc6 13. Nh2 O-O-O 14. Ng4 Rdg8 15. Nxf6 Bxf6 16. Qg4 Qf7 17. Nd5 h5 18. Qf3 exd5 19. exd5 Nd8 20. Qf5+ Kb8 21. c4 g4 22. h4 Rf8 23. Qe4 Qd7 24. Rab1 Nf7 25. b4 Rhg8 26. bxc5 dxc5 27. Rb6 Nd6 28. Qe3 Nf5 29. Qxc5 Be7 30. Qa5 Nxg3 31. fxg3 Rxf1+ 32. Kxf1 Qc7 33. d6 Bxd6 34. Qd5 Rf8+ 35. Kg1 Qxb6+ 36. Kh2 Qc7 37. Qe6 Rc8 38. Qf5 a5 39. Qxh5 Rg8 40. Qf5 Ka8 41. Qe4 Qc5 42. Qd5 Rc8 43. Qe6 e4 44. Qxg4 e3 45. Qe2 Kb8 46. Kh3 Qd4 47. g4 Qe5 48. g3 Qxg3#",0-1,lichess_200k_bins_16layers_ckpt_with_optimizer.pt,Stockfish 0,,0.1,0,1,0,0,48,48,False,False,False,False,lichess_200k_bins_16layers_ckpt_with_optimizer.pt vs. Stockfish 0,49,34.22664284706116,48,0
